正面,背面
La estudiante estudia español en la biblioteca.,这位女学生在图书馆学西班牙语。
El joven es estudiante y trabaja medio tiempo.,这位年轻人是学生，还做兼职。
La joven es estudiante y practica español los fines de semana.,这位年轻女孩是学生，周末练西语。
"Buenos días, señorita. ¿Empezamos la clase ya?",早上好，小姐。我们现在开始上课吗？
Voy a la escuela después del desayuno.,我早饭后去学校。
El español es un idioma bonito y te ayuda a viajar.,西班牙语是一门很棒的语言，也能帮你更好旅行。
Él es abogado y trabaja en un despacho de abogados.,他是律师，在律师事务所工作。
Ella es abogada y asesora a sus clientes.,她是律师，给客户提供法律建议。
El funcionario trabaja en el gobierno local.,这位公务员在地方政府工作。
La funcionaria trabaja en un ministerio.,这位女公务员在某个部门工作。
Él es italiano y habla italiano en casa.,他是意大利人，在家说意大利语。
Ella es italiana y practica italiano los fines de semana.,她是意大利人，周末练习意大利语。
Él es francés y trabaja como guía turístico.,他是法国人，做旅游向导工作。
Ella es francesa y enseña francés por internet.,她是法国人，通过网络教法语。
Él es inglés y habla inglés en el trabajo.,他是英国人，在工作中说英语。
Ella es inglesa y practica inglés conmigo.,她是英国人，经常和我练英语。
El gerente dirige la empresa y coordina al equipo.,这位经理管理公司并协调团队。
La gerente dirige la empresa y organiza el plan semanal.,这位女经理管理公司并制定每周计划。
Soy de China y vivo cerca de Beijing.,我来自中国，住在北京附近。
Vivo en Roma y camino por el centro cada mañana.,我住在罗马，每天早上都在市中心散步。
París es una ciudad bonita; me encanta pasear por el río.,巴黎是一座美丽的城市，我喜欢沿河散步。
Londres es la capital de Inglaterra y tiene muchos museos.,伦敦是英国的首都，而且有很多博物馆。
Madrid es la capital de España y estudio español allí.,马德里是西班牙的首都，我在那里学西语。
Él es mi novio y trabaja en Barcelona.,他是我的男朋友，在巴塞罗那工作。
Ella es mi novia y estudia medicina.,她是我的女朋友，学医。
Mi hermano estudia español para el examen.,我的兄弟在备考西语。
Mi hermana estudia y prepara la entrevista.,我的姐妹在学习并准备面试。
El niño juega con su coche en el parque.,这个男孩在公园里玩玩具车。
La niña juega con muñecas en casa.,这个女孩在家里玩洋娃娃。
El centro de la ciudad está cerca de mi trabajo.,市中心离我上班的地方很近。
Mi marido trabaja de lunes a viernes.,我的丈夫周一到周五都在工作。
Vivo en una casa con jardín.,我住在带花园的房子里。
La planta crece bien si la riego cada semana.,只要我每周浇水，这株植物就会长得很好。
Madrid es una ciudad grande y viva.,马德里是一座繁华的大城市。
La cama es cómoda y duermo mejor.,这张床很舒服，我睡得更好。
"Mi habitación es pequeña, pero tiene mucha luz.",我的房间不大，但采光很好。
Él es alto y trabaja en almacén.,他很高，在仓库工作。
Ella es alta y baila salsa.,她很高，还会跳莎莎。
El niño rubio estudia y la niña rubia dibuja.,这个金发男孩在学习，金发女孩在画画。
El niño rubio juega y la niña rubia lee.,这个金发男孩在玩，金发女孩在读书。
Él es guapo; siempre tiene una sonrisa.,他很帅，总是带着笑。
Ella es guapa y es amable con todos.,她很漂亮，对谁都很友好。
El paciente está enfermo hoy y necesita reposo.,这位病人今天病了，需要休息。
La paciente está enferma desde ayer.,这位女病人从昨天起就不舒服。
Un coche bonito para el fin de semana.,这是一辆适合周末开的漂亮车。
Una casa bonita cerca del parque.,这是一栋靠近公园的漂亮房子。
Estoy resfriado y llevo bufanda.,我感冒了（男），戴着围巾。
Estoy resfriada y bebo té caliente.,我感冒了（女），我喝热茶。
El cuarto está desordenado porque busqué mis llaves.,房间很乱，因为我找钥匙导致的。
La habitación está desordenada; la limpiamos mañana.,房间很乱；我们明天打扫。
Él está alegre porque aprobó el examen.,他很高兴，因为考试通过了。
Ella está alegre porque llegó su pedido.,她很高兴，因为收到了订单。
Un coche grande para viajar en familia.,一辆适合一家人旅行的大车。
Una casa grande con terraza.,一栋带露台的大房子。
Es mejor así: primero practicamos y luego descansamos.,这样更好：先练习，后休息。
Un día agradable sin lluvia en la ciudad.,这是一段在城市里不下雨的愉快日子。
Mi esposo trabaja en la oficina por la mañana.,我的丈夫早上在办公室工作。
Mi esposa trabaja desde casa por la tarde.,我的妻子下午在家工作。
Mi hijo estudia español en línea.,我的儿子在网上学西语。
Mi hija estudia para el examen de mañana.,我的女儿在为明天的考试学习。
El cuarto de baño está limpio; acabamos de limpiarlo.,卫生间很干净；我们刚刚打扫完。
El televisor está en la sala; vemos series por la noche.,电视在客厅；我们晚上看剧。
El sofá es cómodo; me siento aquí a descansar.,沙发很舒服；我在这里坐着休息。
El dormitorio es grande y tiene luz todo el día.,卧室很大，而且白天都有光。
El armario está lleno de ropa de invierno.,衣柜里装满了冬天的衣服。
El estudio está ordenado porque preparo los deberes.,书房很整齐，因为我在准备作业。
El libro es interesante y lo leo antes de dormir.,这本书很有趣，我睡前会读。
El jardín tiene flores y huelen muy bien en primavera.,花园里有花，春天味道很好闻。
El nudo chino es bonito y lo compré en un viaje.,中国结很漂亮，是我旅行时买的。
La sala es grande para recibir amigos.,客厅很大，适合接待朋友。
La cocina está limpia; acabamos de cocinar.,厨房很干净；我们刚做完饭。
La lámpara está encendida para la cena.,灯亮着，用来吃晚饭。
La mesa está en la cocina y desayunamos allí.,桌子在厨房里，我们在那里吃早饭。
La silla es cómoda para estudiar.,这把椅子坐着很舒服，适合学习。
La estantería tiene muchos libros de gramática.,书架上有很多语法书。
Leo una revista en el metro.,我在地铁里看杂志。
La flor es bonita; me la regalaron hoy.,这朵花很漂亮；今天有人送给我。
Un coche pequeño es ideal para la ciudad.,小车很适合在市区开。
Una casa pequeña con jardín.,有花园的小房子。
El cuarto está limpio porque hoy limpié yo.,房间很干净，因为今天是我打扫的。
La cocina está limpia tras cocinar.,厨房在做完饭后很干净。
El estudio está ordenado para empezar a estudiar.,书房很整齐，方便开始学习。
La habitación está ordenada antes de dormir.,睡觉前房间整理好了。
Hoy hay mucho trabajo y no paro.,今天工作很多，我停不下来。
Tengo mucha tarea para mañana.,我有很多作业要做完。
Compré un coche nuevo para ir al trabajo.,我买了新车去上班。
Hemos estrenado una casa nueva.,我们已经住进新房子了。
Un libro interesante para aprender español.,一本有趣的书，用来学西语。
Una película interesante que vimos ayer.,我们昨天看了那部有趣的电影。
Llego alrededor de las ocho al trabajo.,我大约八点到公司。
Hay alrededor de cien personas en la feria de libros.,图书博览会上大约有一百人。
He intentado varias veces y al final salió bien.,我试了好几次，最后终于成功了。
Varias personas preguntaron lo mismo.,好几个人都问了同样的问题。
Vimos un edificio enorme cerca del metro.,我们在地铁附近看到了一栋巨大的楼。
Hay una plaza enorme para eventos.,这里有个用于活动的大广场。
¿Cuál es tu apellido para el registro?,你登记用的姓是什么？
Mi apellido es García.,我姓 García。
¿Cuál es tu nombre para la reserva?,预约用的名字是什么？
Mi nombre es Juan Martínez.,我叫 Juan Martínez。
¿Cuál es tu edad para el formulario?,表格里要填你的年龄是多少？
Tengo veinte años y estudio.,我二十岁，在上学。
¿Cuál es tu formación para el puesto?,你这个职位是什么学历的？
Tengo formación en derecho y trabajo en legal.,我法律专业出身，现在在做法务工作。
"¿Tienes experiencia profesional para este proyecto? Sí, tengo cinco años de experiencia en atención al cliente.",你有这个项目的工作经验吗？ 有，我做客户服务五年了。
¿Cuál es tu número de teléfono?,你的电话号码是多少？
Mi número es 13800000005.,我的号码是 13800000005。
¿Cuál es tu dirección de envío?,你的收件地址是？
Escribo la dirección en el sobre antes de enviarlo.,我把地址写在信封上再寄出。
Le comunico la noticia por mensaje.,我把消息通过短信告诉他。
Me comunico con él por teléfono cuando termino.,我结束后就打电话跟他联系。
Fue médico durante años.,他做医生好几年了。
Ella fue a Madrid por trabajo el mes pasado.,上个月她去马德里出差了。
Ayer fui al cine con mis amigos.,昨天我和朋友一起去电影院了。
Ayer llovió toda la tarde.,昨天下午一直下雨。
Me arreglo para la fiesta de cumpleaños.,我为生日派对打扮。
"No te preocupes, me arreglo y llego en seguida.",别担心，我自己搞定，马上就到。
Busco la palabra en el diccionario antes del examen.,考试前我在词典里查这个词。
Me recomendaste un diccionario español-chino.,你推荐给我一本西汉词典。
Esta palabra es nueva para mí en el ejercicio.,这个词在练习里对我来说是新的。
El profesor da la palabra a los estudiantes y todos opinan.,老师让学生发言，大家都发表看法。
Leo el texto en voz alta.,我大声读课文。
Traduzco el texto al chino para entenderlo.,我把课文翻译成中文来理解。
Te explico el problema paso a paso.,我一步一步给你解释这个问题。
Le explico la lección al alumno después de clase.,我课后给学生讲解课文。
"Por favor, tome asiento; en un minuto empezamos.",请坐；一分钟后我们开始。
"Estaba cansado, por eso me fui a casa temprano anoche.",我昨晚太累了，所以就早点回家了。
Lo sé de oídas; me lo dijo mi primo.,我只是听说的，是我表弟告诉我的。
Todo el mundo está aquí para empezar la clase.,大家都到了，就等开始上课。
El libro tiene buena acogida en la librería; se vende rápido.,这本书在书店里很受欢迎，卖得很快。
Voy a la estación a pie.,我步行去车站。
"En fin, vamos a casa que ya es tarde.",总之，回家吧，时间不早了。
"Allí hay de todo: frutas, pan y café.",那边什么都有：水果、面包和咖啡。
Aquí tiene el cambio; son 5 euros.,这是找零，一共5欧。
El cambio para ti; gracias por atenderme.,找的零钱给你，谢谢你招待我。
Tengo la costumbre de desayunar temprano los días de clase.,我有上课日早起吃早餐的习惯。
La cena está lista y ya huele a pasta recién hecha.,晚餐做好了，香味是刚煮好的意面味儿。
Estudio en la facultad de medicina y luego voy al comedor universitario.,我在医学系学习，之后去大学食堂吃饭。
Espero en la parada del autobús y aprovecho para comprar café para llevar.,我在公交站等车，同时买了杯咖啡带走。
Suelo ir a la universidad con un poco de hambre y casi siempre entro primero en la cafetería del campus.,每次带着点饥饿感去大学，我通常都会先钻进校园里的咖啡馆。
Tomo el desayuno en casa antes de salir al trabajo.,我出门上班前在家吃早餐。
El almuerzo es a las dos y a esa hora me junto con compañeros.,午餐两点开始，我会和同事一起吃。
Voy al comedor porque tienen menú del día.,我去食堂吃饭，因为他们有每日套餐。
Ceno en un restaurante italiano cuando termino tarde.,我忙到很晚时会去意大利餐厅吃晚饭。
Pongo los cubiertos en la mesa y preparo servilletas.,我把餐具摆上桌，还准备好纸巾。
Uso palillos cuando pido comida asiática para llevar.,我点外卖亚洲菜时用筷子吃饭。
Como arroz con verduras y pollo.,我吃米饭配蔬菜和鸡肉。
Este plato está muy rico; el chef lo recomienda cada semana.,这道菜真的很好吃，主厨每周都会推荐。
Voy en autobús al mercado para comprar ingredientes.,我坐公交去市场买食材。
Voy en metro a un restaurante cerca de la oficina.,我坐地铁去办公室附近那家餐厅。
El pan está blando porque lo dejé sin tostar.,面包是软的，因为我没去烤。
Este plato es muy picante y necesito un vaso de agua.,这道菜辣得要命，我得来杯水。
Me gusta el postre dulce después del almuerzo.,我午饭后喜欢吃甜点。
Pido el quinto plato del menú: un postre de chocolate.,我点菜单上的第五道菜：巧克力甜点。
Voy a la Puerta del Sol para desayunar con mis amigos.,我去太阳门和朋友吃早餐。
Uso palillos para comer cuando pido ramen.,我点拉面时用筷子吃。
Creo que este plato está hecho con ingredientes frescos.,我觉得这道菜用的是新鲜食材。
Manejo bien la cocina; hoy cocino pasta.,我很会做饭，今天我煮意面。
Bajo del autobús y voy directo al comedor.,我下公交后直接去食堂。
Cojo el metro para ir al restaurante de siempre.,我坐地铁去老地方那家餐厅。
El intérprete traduce en el congreso y todos lo entienden.,这位译员在大会上做口译，大家都听得懂。
La intérprete traduce en la conferencia internacional.,这位女译员在国际会议上做口译。
El traductor trabaja con subtítulos.,这位译者用来做字幕翻译。
La traductora trabaja revisando traducciones para un libro.,这位女译者负责为书籍润色校对翻译。
El recepcionista recibe a los visitantes en el hotel.,这位接待员在酒店接待来访者。
La recepcionista atiende las llamadas telefónicas y reserva habitaciones.,这位女接线员负责接电话并预订房间。
Asisto al congreso de español en noviembre.,我参加11月的西语代表大会。
Me gusta el turismo cultural y los museos.,我喜欢文化旅游和博物馆。
Tengo un programa completo de visitas esta semana.,我这周有一个很完整的参观日程安排。
En este momento estudio para el examen.,此刻我在备考。
Espero en el hall del hotel a mi amigo.,我在酒店大堂等我的朋友。
Está al lado de la puerta.,在门旁边。
Está al lado de la mesa en la cafetería.,在咖啡馆的桌子旁边。
"Mi estancia es corta, pero intento aprovecharla al máximo.",我的逗留时间很短，但我尽量把它利用到极致。
Es una cosa importante para mí: practicar todos los días.,这件事对我来说很重要：每天练习。
Busco la llave del apartamento en el bolso.,我在包里找公寓钥匙。
Es perfecto para empezar a estudiar ahora.,现在开始学习正合适。
Es perfecta para practicar conversación.,这非常适合练口语。
¡Bienvenido al hotel!,欢迎来到酒店！
¡Bienvenidos al congreso!,欢迎来到大会！
¡Bienvenido a China!,欢迎来到中国！
El próximo año voy a estudiar en el extranjero con una beca.,明年我要带着奖学金出国学习。
Cualquier llave sirve para esta puerta.,这门随便什么钥匙都能开。
Una llave cualquiera me basta.,给我随便一把钥匙就行了。
Es tuyo el móvil.,这手机是你的。
Es tuya esta chaqueta.,这件夹克是你的。
Es mío este libro.,这本书是我的。
Es mía esta taza.,这个杯子是我的。
Aprovecho estas vacaciones para viajar y visitar museos.,我利用这些假期去旅行并参观博物馆。
Miro ahí y veo el cartel de la sala.,我往那边看，就看到那个房间指示牌。
Modifico el programa por la lluvia.,因为下雨我修改了日程安排。
Reparto las llaves al equipo nuevo.,我给新团队分发钥匙。
Busco trabajo todos los días por internet.,我每天在网上找工作。
Espero en el hall del hotel porque vienen en diez minutos.,我在酒店大堂等着，因为十分钟后他们就到。
Espero verte mañana temprano.,我希望明早早点和你见面。
El empleado revisa mi billete en el mostrador de facturación.,这位工作人员在值机台帮我核对机票。
La empleada de información me guía hasta la puerta de embarque.,信息台的女工作人员带我去登机口。
Tengo la tarjeta de embarque y mi asiento es el 14A.,我拿着登机卡，座位是14A。
La azafata ayuda a los pasajeros a guardar el equipaje en el compartimiento superior.,空姐帮乘客把行李放进行李架。
Llevo una maleta de mano y una maleta grande para facturar.,我带手提行李和一只要托运的大行李箱。
Paso por la aduana con mi pasaporte y declaro lo necesario.,我拿护照过海关，并如实申报。
Pago la tasa en la ventanilla antes de entrar al control.,我进安检前在窗口把费用交了。
Tengo una beca y viajo para empezar el programa.,我拿着奖学金，要去开始项目。
Trabajo para una compañía que me envía a un congreso.,我在一家公司上班，这次公司派我去参会。
Tenemos una buena relación con la aerolínea.,我们和这家航空公司关系很好。
Me piden una carta para la admisión y la preparo hoy.,录取需要一封证明信，我今天把材料准备好。
Recibo la admisión y preparo el viaje al país.,我收到录取通知，就开始准备出发。
El vuelo sale a las diez desde la puerta 12.,航班十点从12号登机口起飞。
El embarque está abierto y veo mi fila en la pantalla.,登机开始了，我在屏幕上看到了我的登机队列。
Voy al mostrador para entregar la maleta y confirmar el billete.,我去服务窗口托运行李并确认机票。
Compro el billete online y lo muestro en el móvil.,我网上买了机票，安检时给他们看手机上的票。
Muestro el pasaporte en el control de seguridad.,我在安检处出示护照。
Tengo el comprobante del pago y lo guardo en la carpeta.,我有付款凭证，并把它收进文件夹。
Voy al consulado para recoger el documento que falta.,我去领事馆取缺的那份文件。
Solicito un visado para estudiar en España.,我申请去西班牙学习的签证。
Tengo dinero para el transporte y la comida en el primer día.,我有钱，能应付第一天交通和吃饭。
Recibo el resguardo del equipaje y me quedo tranquilo.,我拿到行李回执就放心了。
El resultado de la verificación sale en la pantalla y puedo pasar.,核验结果出现在屏幕上，我就可以通行了。
Llevo suficiente dinero para comprar agua y un bocadillo.,我带了足够的钱买水和三明治。
Es muy importante llegar antes para no perder el embarque.,提前到很重要，别耽误登机。
Es una relación comercial y nos encontramos por un trabajo.,这是商务合作，我们是因为工作来见面。
Paso por el control de pasaportes y me revisan el visado.,过边检的时候，他们检查我的签证。
Solicito una beca de AECID para mi intercambio.,我申请了AECID的奖学金，用于我的交流项目。
¿Cuándo vienes a recoger el pasaporte?,你什么时候来取护照？
El personal recoge un móvil del suelo.,工作人员从地上捡起了一部手机。
"Por favor, ¿me puede mostrar el pasaporte en el control?",麻烦了，您能在安检时出示一下护照吗？
Enseña idiomas en una academia cerca del aeropuerto.,他在机场附近的一所语言培训机构教语言。
El agente nos enseña a llenar el formulario de aduana.,工作人员教我们填写海关表格。
Nos enseñan a usar la app del embarque.,他们教我们使用登机app。
Solicito un visado para el intercambio de tres meses.,我申请为期三个月的交流签证。
El doctor me revisa la tos cada mañana.,医生每天早上都帮我检查咳嗽。
La doctora me pregunta los síntomas antes de examinarme.,女医生在给我检查前先问我症状。
Me duele la cabeza después de pasar horas frente al ordenador.,我在电脑前坐了几个小时后头疼。
Me duele la garganta cuando trago saliva.,我吞口水时喉咙疼。
Me duele la nariz por la alergia y me moquea.,我鼻子因为过敏难受，总在流鼻涕。
Tengo fiebre y hoy no puedo ir a trabajar.,我发烧了，今天没法去上班。
Tomo la medicina después de cenar para que no me sienta mal.,我晚饭后吃药，这样不容易不舒服。
El doctor me da una receta y mañana paso a recogerla.,医生给我开了药方，我明天去取。
Voy a la farmacia a por las medicinas de la receta.,我去药店取配方里的药。
Tomo una pastilla cada ocho horas.,我每八小时吃一片药。
"De esta manera, por la noche duermo mejor y me recupero antes.",这样一来，晚上我能睡得更好，恢复得更快。
No tengo apetito porque estoy resfriado.,我感冒了，所以没胃口。
Me quito el abrigo en casa porque ya no hace frío.,回到家我脱掉外套，因为不冷了。
Compro medicamentos para la gripe en la farmacia.,我在药店买了治疗感冒的药。
Estudio un curso online de primeros auxilios para estar preparado.,我在学一个在线急救课程，这样就能更有准备了。
"Me preocupo por el futuro cuando estoy enfermo, pero intento mantener la calma.",我生病的时候会担心未来，但我会努力保持冷静。
"Busco empleo y, además, tengo citas médicas.",我一边找工作，还得去看医生。
Tengo la nariz tapada y me cuesta respirar por la noche.,我鼻子堵了，晚上呼吸都不太顺。
"El médico me dijo que no es tan grave, pero tengo que vigilarme.",医生说没那么严重，但我得注意一下身体情况。
Estoy harto de esperar en la sala de urgencias.,我在急诊等得很烦。
Estoy harto de no dormir.,我真是受够了睡不着觉。
"Es un trabajo absorbente, pero hoy solo quiero descansar.",这份工作很耗人精力，不过我今天只想休息。
Es un curso pagado y ya tengo el acceso desde ayer.,这是已付费的课程，我从昨天就已经可以登录学习了。
Estoy cansado; me duele todo y me acuesto.,我很累，浑身不舒服就先躺下了。
Estoy cansada; con fiebre prefiero dormir.,我很累，还发烧了，我还是先睡吧。
Un niño pobre busca ayuda cerca de la consulta.,一个可怜的男孩在诊所附近求助。
Una niña pobre también necesitaba medicinas.,一个可怜的女孩也需要药。
En esta puerta no podemos pasar sin cita.,没有预约我们不能从这道门进去。
"Por favor, ¿puedo entrar a la consulta?",请问，我可以进诊室吗？
"Mario, ¿qué te pasa? ¿Te duele algo?",Mario，你怎么了？哪里痛吗？
Cruzo la calle para llegar a la farmacia.,我过马路去药店。
Voy a cruzar el paso de peatones.,我去走斑马线。
Me crucé con Mario en la farmacia.,我在药店偶遇了 Mario。
Comprendo tu situación; también estuve así.,我理解你的处境；我也经历过。
No comprendo por qué te sientes peor.,我不明白为什么你会更难受。
El doctor me ausculta y revisa la garganta.,医生给我听诊，还检查了喉咙。
Descanso un poco en casa antes de volver al trabajo.,我在家先休息一会儿，再回去上班。
Gasto mucho dinero en medicinas cuando me pongo malo.,我生病的时候常常花很多钱买药。
Escucho atentamente las indicaciones del médico.,我认真听医生的叮嘱。
Ellos escucharon la música mientras esperaban.,他们等诊的时候听音乐。
Estudio en un grupo pequeño antes de la clase de conversación.,我在上口语课之前参加一个小组学习。
Este producto es muy bueno y funciona como dijeron.,这个产品很好，效果跟他们说的一样。
El mármol del recibidor se ve elegante en la oficina.,办公室的前厅大理石看起来很高级。
Paso por el control para entrar a la conferencia.,我通过检查进入会议现场。
Llevo un maletín con documentos para la reunión de las seis.,我带着公文包，里面是六点的会议需要的文件。
Corto un trozo de pan y lo guardo para llevar.,我切一块面包并带走。
Te dejo un recado: quedamos a las ocho en el café de la plaza.,我给你留个口信：我们八点在广场那家咖啡馆见。
Los oyentes escuchan atentos en la sesión de preguntas.,听众在提问环节认真听着。
Voy a la sesión de cine y llego antes para comprar entradas.,我要去看这场电影，会提前到买票。
Tiene una voz muy bonita y habla claro por teléfono.,她的声音很好听，而且在电话里说得很清楚。
Estudio la historia de la ciudad para comentarla en el grupo.,我学这座城市的历史，为了在小组里聊天。
Muestro la muestra del producto en la mesa de la reunión.,我在会议桌上展示产品样品。
La calidad del audio es buena; se escucha perfecto.,音频质量很好，听起来很清楚。
Preparo una pieza de pan para cada oyente.,我给每个听众准备了一块面包。
La mayoría está de acuerdo con la hora del encuentro.,大部分人都同意见面的时间。
Es muy inteligente y entiende rápido el plan.,他很聪明，能很快理解计划。
Es muy trabajador y llega puntual.,他很勤奋，而且总是很准时。
Es muy trabajadora y prepara todo antes de la sesión.,她很勤劳，会在会开始前把一切准备好。
"Si quieres, quedamos juntos a las siete en el café.",如果你想，我们七点在咖啡馆一起见面。
Las dos chicas siempre estudian juntas antes del control.,这两个女孩在检查前总是一起学习。
Estoy sorprendido: llegaste antes de lo acordado.,我很吃惊：你比我们约好的时间还早到。
Estoy sorprendida; me llamaste justo a tiempo.,我很惊讶：你刚好在关键时刻打了电话。
Estoy sentado en una silla baja y no veo bien.,我坐在矮椅子上看不清。
La mesa es muy baja para mí.,这张桌子对我来说太低了。
Tengo unas preguntas para comentar hoy.,我今天有几个问题想聊一下。
Tengo unos apuntes para la próxima sesión.,我有一些笔记给下一场会议。
El punto principal es confirmar la hora de quedar.,主要点就是确认约见时间。
Es capaz de elaborar un plan en una tarde.,他有能力在一个下午内把计划做好。
Es muy antiguo; esa sala tiene historia.,很古老；那间屋子有故事。
Es muy antigua; el edificio conserva su estilo.,很古老；这栋楼保留着原来的风格。
Es muy riguroso con los horarios en el grupo.,他在小组里对时间很严格。
Es muy rigurosa con las normas de la clase.,她对课堂规则很严格。
Vivo en Asia y llamo a mi amigo para quedar con él pronto.,我住在亚洲，我给朋友打电话约一下尽快见面。
Comento la hora del encuentro en el chat.,我在聊天里确认了见面时间。
Le comento el plan a mi amigo.,我跟朋友讨论了计划。
Elaboro un resumen para la reunión de hoy.,我为今天的会议整理一份摘要。
Exporto productos cada trimestre.,我每个季度都会出口产品。
Exporto productos a Asia con nuestra empresa.,我们公司把产品出口到亚洲。
Él murmura algo mientras espera el recado.,他一边等口信一边嘟囔着什么。
Saco el pasaporte del maletín para el control.,我从公文包里拿出护照准备过安检。
Saco la libreta de la mochila y empiezo a apuntar.,我从背包里掏出笔记本开始记要点。
La vida es hermosa cuando compartimos una mesa.,当我们共享一张餐桌时，生活很美好。
Madrid es la capital de España y siempre está llena de vida.,马德里是西班牙的首都，始终充满活力。
Tengo prisa: el mercado cierra en diez minutos.,我很赶，市场十分钟后就关门。
Compro naranjas para hacer zumo en casa.,我买橙子回家榨汁。
Como una manzana en la oficina y sigo trabajando.,我在办公室一边吃苹果，一边工作。
Compro coliflor para la cena de esta noche.,我买菜花做今晚的晚餐。
Compro una docena de huevos para toda la semana.,我买一打鸡蛋，够一整周吃。
Bebo leche con el café por la mañana.,早上我用牛奶配咖啡喝。
Bebo agua porque hace calor en la calle.,我要喝点水，因为外面太热了。
Tengo buena memoria y no olvido la lista del supermercado.,我记性很好，超市的购物清单从不忘记。
Vivo en el campo y gasto menos en alquiler.,我住在乡下，租金开销更少。
El problema del tráfico es grave a esta hora.,这个时间段交通问题很严重。
En esta calle hoy hay mucho tráfico / poco tráfico según el día.,今天这条街上车多/车少要看今天情况。
El aire está contaminado cerca de la carretera.,靠近公路的空气被污染了。
Voy al bar del barrio cuando quiero desconectar.,我想放松时就去附近的酒吧。
Tengo muchos gastos este mes por la mudanza.,搬家让我这个月花销很大。
Compro un kilo de manzanas y comparo el precio.,我买了一公斤苹果，然后顺便比了比价格。
Compro huevos para preparar una tortilla.,我买鸡蛋做煎蛋。
Compro espárragos y los preparo a la plancha.,我买芦笋，用平底锅煎。
Compro un litro de leche y me llevo también yogur.,我买一升牛奶，还顺便买了酸奶。
El aire de esta zona está contaminado y me pongo mascarilla.,这个地区的空气被污染了，我戴上口罩。
El bar es muy ruidoso y casi no puedo hablar.,这家酒吧太吵了，几乎没法说话。
Esta calle es muy ruidosa por la noche.,这条街晚上特别吵。
La sopa está muy sosa; le pongo sal.,这碗汤很淡，我加点盐。
La conversación es muy sosa sin música.,没有音乐的聊天太无聊了。
El menú es muy variado y siempre encuentro algo.,菜单品种很多，我总能找到合适的。
La cesta del mercado tiene productos muy variados.,市场的购物篮里东西很丰富。
Es muy caro comer fuera cuando no tengo presupuesto.,外面吃饭很贵，当我预算不够时尤其难受。
La vida es muy cara en esta ciudad.,这座城市生活成本很高。
Sólo dos empleados atienden hoy y los demás están de descanso.,今天只有两个员工在服务，其他人在休假。
"Oye, ¿sabes dónde están los demás clientes que venían a la reunión?",嘿，你知道其他来参加会议的客户在哪里吗？
Vivo en México y me gusta comparar precios en el mercado.,我住在墨西哥，我喜欢在市场对比价格。
¡Uf! Qué caro está todo en este supermercado.,唉！这家超市啥都好贵。
No aguanto de él cuando compara precios y tarda demasiado.,他一比价格就耗太久，我受不了。
Ya no aguanto comprar tan caro; sigo buscando ofertas.,我受够了买这么贵的东西，还在找折扣。
Aguanto el gasto del mes con paciencia.,我耐心地撑过了这个月的开销。
Este coche todavía aguanta bien.,这辆车还很耐用。
No puedes imaginar cuánto subieron los precios aquí en un mes.,你无法想象这里的价格一个月内涨了多少。
"Cubro los gastos del mes con mi sueldo, pero el resto lo guardo.",我用工资覆盖每月开销，剩下的存起来。
Vendo frutas en el mercado los domingos y me queda un poco para el alquiler.,我周日去市场卖水果，赚点钱补房租。
Envidio su presupuesto: siempre encuentra ofertas.,真羡慕他那么会买，总能淘到打折的东西。
Pierdo el bus y llego tarde al mercado de ofertas.,没赶上公交车，赶到特价卖场时已经迟了。
Perdimos la oferta porque llegamos después.,我们来晚了，没赶上这次促销。
Caminamos cinco kilómetros durante la excursión.,郊游时我们走了五公里。
Vivimos en un barrio lleno de tiendas donde empieza nuestra excursión.,我们住在一个满是商店的城区，是我们郊游路线的起点。
Visito el templo al final del recorrido por la ciudad.,城市一圈逛完之后，我参观那座庙。
Hacemos un recorrido por la ciudad vieja con un guía.,我们在导游带领下逛了一圈老城区。
El comercio está muy desarrollado en el centro que visitamos.,我们去的那个市中心特别繁华。
Voy al museo por la mañana y luego paseo por la plaza.,我早上去博物馆，然后去广场散步。
El arte de esta exposición cuenta la historia de la ciudad.,这个展览里的艺术作品讲述了这座城市的故事。
Tengo muchos datos sobre los lugares que vamos a visitar.,我手上有很多我们要参观景点的资料。
¿Cuál es tu sexo? Lo necesito para la ficha del viaje.,麻烦告诉我一下性别，旅行登记表上要填这一栏。
Envío por fax el currículum al hotel donde quiero trabajar.,我通过传真把简历发给我想去工作的那家酒店。
Hacemos una excursión de un día a la ciudad vecina.,我们去了邻近城市，玩了一整天。
¿Dónde puedo coger la autopista para empezar la excursión?,我从哪里上高速才能开始这次郊游？
Visito la catedral con el grupo y hacemos fotos.,我跟团参观主教堂，还拍了照。
Nos encontramos en la plaza central al inicio del recorrido.,我们在市中心广场集合，然后开始整趟行程。
Envío una postal a mi familia desde el lugar de la excursión.,我从郊游的地方给家人寄了一张明信片。
Tengo una entrevista en otra ciudad y aprovecho para hacer una excursión.,我去另一座城市面试，顺便安排了一次小郊游。
Tengo buena formación y la añado en el currículum vitae.,我受过不错的专业训练，也写进简历里了。
El año pasado hicimos una excursión al mar.,去年我们去海边郊游过。
La semana pasada visitamos la catedral.,上周我们参观了那座主教堂。
El hotel está situado en el centro.,那家酒店位于市中心。
La catedral está situada en el centro.,那座主教堂在市中心。
El pueblo está situado a cinco kilómetros de la ciudad.,那个小镇离城里有五公里。
Es un templo muy viejo.,这是一座很古老的寺庙。
